TYPE;STATUT;ADRESSE;ARRONDISSEMENT;HORAIRE;ACCES_PMR;RELAIS_BEBE;URL_FICHE_EQUIPEMENT;geo_shape;geo_point_2d
TOILETTES;;SQUARE DU CHANOINE VIOLLET;75014;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/square-alberto-giacometti-2866;"{""coordinates"": [[2.320531757502638, 48.83134761087849]], ""type"": ""MultiPoint""}";48.83134761087849, 2.320531757502638
TOILETTES;;SQUARE SAINT-LAMBERT;75015;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/square-saint-lambert-1768;"{""coordinates"": [[2.2974060618595407, 48.842774535610474]], ""type"": ""MultiPoint""}";48.842774535610474, 2.2974060618595407
TOILETTES;;JARDIN TINO ROSSI - MUSEE DE LA SCULPTURE EN PLEIN AIR;75005;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/jardin-tino-rossi-1786;"{""coordinates"": [[2.359146507792513, 48.848436644167236]], ""type"": ""MultiPoint""}";48.848436644167236, 2.359146507792513
TOILETTES;;JARDIN MASHA JINA AMINI;75010;Voir fiche équipement;Non;Oui;https://www.paris.fr/equipements/jardin-villemin-1798;"{""coordinates"": [[2.36058658232068, 48.87495187559819]], ""type"": ""MultiPoint""}";48.87495187559819, 2.36058658232068
TOILETTES;;JARDIN EMILE GALLE;75011;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/jardin-emile-galle-2730;"{""coordinates"": [[2.3904652995553635, 48.853785095364564]], ""type"": ""MultiPoint""}";48.853785095364564, 2.3904652995553635
TOILETTES;;JARDIN ATLANTIQUE;75015;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/jardin-atlantique-1775;"{""coordinates"": [[2.3196854418888537, 48.83980953562733]], ""type"": ""MultiPoint""}";48.83980953562733, 2.3196854418888537
TOILETTES;;SQUARE THOMAS JEFFERSON;75016;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/square-thomas-jefferson-2606;"{""coordinates"": [[2.2947040778061325, 48.867765583257565]], ""type"": ""MultiPoint""}";48.867765583257565, 2.2947040778061325
TOILETTES;;SQUARE EDOUARD VAILLANT;75020;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/square-edouard-vaillant-2691;"{""coordinates"": [[2.399921131428531, 48.86624979610642]], ""type"": ""MultiPoint""}";48.86624979610642, 2.399921131428531
TOILETTES;;SQUARE DU SERMENT DE KOUFRA;75014;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/square-du-serment-de-koufra-1773;"{""coordinates"": [[2.3236001578901857, 48.82225626602283]], ""type"": ""MultiPoint""}";48.82225626602283, 2.3236001578901857
LAVATORY;;place du parvis de Notre-Dame;75004;10h/18h;;;;"{""coordinates"": [[2.3485479396362106, 48.85311889213951]], ""type"": ""MultiPoint""}";48.85311889213951, 2.3485479396362106
WC PUBLICS PERMANENTS;;En aval du pont Louis Philippe;75004;SB : 10h - 18h30 // SH : 10h - 22h // STH : 9h - 2;OUI;NON;;"{""coordinates"": [[2.3545796722324384, 48.85427809174293]], ""type"": ""MultiPoint""}";48.85427809174293, 2.3545796722324384
SANISETTE;;face au 57 BOULEVARD LEFEBVRE;75015;6 h - 22 h;Oui;;;"{""coordinates"": [[2.291834085756668, 48.83096156719241]], ""type"": ""MultiPoint""}";48.83096156719241, 2.291834085756668
